Названия строк;1;2;3;4;5;6;7;8;9;10;11;12
Инструмент;;;;;;;;;;;;
11F95FD8-532E-11E6-B059-005056A2384C;131 781;193 702;219 058;253 611;206 774;269 573;310 051;325 971;274 452;273 714;254 522;324 203
96597DFB-6816-11E5-B1B7-00505602071E;70 864;91 582;116 243;132 050;141 420;144 101;132 657;149 012;170 969;165 903;170 634;185 597
00000000-0000-0000-0000-000000676452;41 305;61 149;74 848;82 870;69 858;79 830;72 564;98 964;94 455;104 170;122 002;136 775
7E5A52EA-158E-11E5-9252-0050560205C4;37 262;45 718;56 688;65 157;58 646;64 470;76 919;84 881;75 728;77 139;85 565;87 466
00000000-0000-0000-0000-000000000000;36 301;41 508;72 629;81 066;83 110;90 222;99 912;82 794;53 273;54 593;52 882;31 699
00000000-0000-0000-0000-050335350170;40 787;48 878;60 072;70 270;79 040;64 593;63 721;63 434;66 188;39 391;42 502;36 328
45426A54-67A1-4F3A-9C46-B74F3ACC9B40;33 055;48 547;58 269;59 009;50 235;57 561;59 733;58 705;54 505;56 294;55 064;63 140
00000000-0000-0000-0000-000025017860;27 215;41 826;48 447;50 922;46 910;55 473;52 557;58 785;58 711;57 231;56 606;67 335
31C10D56-1A60-11E9-90E2-005056A27BA9;32 835;41 502;46 385;50 998;56 460;52 143;57 778;58 885;60 567;53 370;40 994;39 679
00000000-0000-0000-0000-050113945920;15 522;20 850;42 326;39 923;38 084;43 407;50 371;45 725;53 501;52 106;54 070;52 992
FAADF652-AEF3-4B2C-940C-7610941A4406;19 520;27 127;35 651;39 267;35 072;38 134;41 001;43 397;37 452;45 436;44 793;58 430
00000000-0000-0000-0000-000036249788;20 601;27 094;32 050;34 748;34 966;28 029;33 798;44 027;47 818;47 214;54 769;56 856
00000000-0000-0000-0000-051641750683;10 561;14 532;26 659;27 036;15 180;20 285;26 744;37 511;91 207;58 685;53 534;65 110
00000000-0000-0000-0000-050082459538;21 227;38 399;50 566;37 634;27 691;27 570;24 217;23 417;23 007;24 459;26 279;29 055
0ED106BF-1FAE-11E9-90E2-005056A27BA9;18 023;23 996;25 232;29 093;24 979;27 477;28 304;30 447;30 677;36 543;34 304;41 794
1D1E038F-66B4-11E5-B1B7-00505602071E;11 309;12 468;12 997;18 186;16 416;22 754;20 868;22 748;28 308;35 648;41 403;40 826
25397CD5-1B92-11E7-8B42-005056A225F3;10 301;14 077;19 528;21 945;17 568;22 251;24 256;24 369;25 648;21 219;23 584;25 744
31793C14-E298-11E4-A937-005056020188;11 886;15 377;18 500;17 696;13 449;13 746;14 552;14 310;16 503;16 465;17 506;19 277
00000000-0000-0000-0000-000031633425;2 945;6 445;10 444;12 320;7 984;8 576;13 427;15 359;19 069;19 137;21 777;20 032
2B8B9DC3-211E-11E8-9C6C-005056A225F3;10 227;13 764;15 635;15 219;12 360;14 912;13 738;14 604;12 770;11 103;11 226;11 100
00000000-0000-0000-0000-050045798313;9 369;12 470;14 361;13 771;11 063;10 371;8 568;9 419;13 018;13 172;13 836;17 159
2A00B92C-CC0B-11E5-A152-00505602071E;6 318;8 568;10 918;10 565;9 820;9 937;11 821;11 308;9 179;9 799;9 874;11 776
30AEAA9A-4396-11E6-B059-005056A2384C;3 937;6 742;8 624;15 350;7 663;9 161;11 977;14 079;11 748;7 117;8 282;14 292
00000000-0000-0000-0000-051700911397;7 574;9 431;9 732;10 323;9 385;11 573;11 838;11 074;9 474;7 559;6 513;6 787
BB23417C-14AD-11E9-90E2-005056A27BA9;4 677;6 707;8 644;9 066;7 868;8 326;9 185;10 303;9 359;10 008;9 900;10 415
FB9DBFAC-004B-11E5-BADB-0050560205C4;6 318;7 643;10 548;11 833;7 776;9 297;7 806;8 029;7 601;8 553;8 468;9 175
D813892B-D455-11E3-A316-005056020025;6 891;7 261;8 786;8 186;5 877;7 521;7 931;9 600;8 496;8 397;7 245;8 810
00000000-0000-0000-0000-000025535643;5 238;8 761;10 014;10 506;10 343;10 052;9 151;8 203;7 732;6 356;4 523;3 761
00000000-0000-0000-0000-000189235463;3 393;5 708;6 700;6 903;8 264;8 024;6 742;7 911;9 040;10 571;9 901;10 267
A8B34B80-BD6C-11E7-BC22-005056A225F3;6 039;6 885;7 917;7 945;7 255;7 411;7 010;6 964;6 913;7 052;7 843;8 334
846E05A0-36DE-11E6-B059-005056A2384C;4 373;6 693;7 337;7 304;6 645;6 426;5 912;6 229;7 515;8 308;9 461;10 615
F8EB29DF-1C0A-11E6-9D6C-005056A2384C;2 843;4 333;5 689;6 614;6 628;7 186;7 812;9 040;9 238;8 713;9 905;8 273
ADDBED1B-9813-4EF5-8FDA-847B4EF3F515;2 837;5 422;5 762;5 582;6 109;8 186;6 624;9 451;9 124;9 195;9 463;8 198
